// Aura
// Database file
// 
// Region:
//   One region, or multiple ones, seperated by colons ":".
// 
// Type:
//   0 Official (not supported yet)
//   1 Custom Seed
//       Takes one value, the seed.
//   2 Pattern
//       Takes multiple values, making up the pattern.
//   3 Open Weather Map
//       Takes one value, the city id.
//
// Structure:
// Region  Type  Values...
//---------------------------------------------------------------------------

// 1 - Tir, Dugald, Sliab Cuilin
1:16:301, 3, 116301

// 2 - Dunbarton, Gairech, Fiodh 
14:30:49:50, 3, 14304950

// 3 - Bangor
31, 3, 311

// 4 - Emain, Coill
52:54:55, 3, 525455

// 5 - Sen Mag, Dugald Residential, Sen Mag Residential
53:200:201:202:203, 3, 53200201

// 6 - Morva Aisle, Port Ceann
96:100, 3, 96100

// 7 - Rano
3001, 3, 30011

// 8 - Connous
3100, 3, 31001

// 9 - Courcle
3300, 3, 33001

// 10 - Zardine
3400, 3, 34001

// 11 - Shadow Missions
// -

// 12 - Taillteann, Abb Neagh, Corrib, Tara, Blago
300:302:400:401:402, 3, 300302400

// 13 - Sidhe Sneachta, Physis
47:48:3200, 3, 47483200
